"User Target","Week Duration","Prior Knowledge","Description","Important Technology Keywords"
"Network Engineer","13","Basic Networking","I've been in IT helpdesk for two years and I understand basic networking just from troubleshooting tickets, but I want to specialize properly and become a network engineer. Cisco seems to be the dominant vendor and CCNA seems like the gold standard entry certification so that's my primary target. I need to get really solid on routing protocols like OSPF and BGP because those are what make the internet actually work at scale. VLANs and switching concepts are things I encounter but don't fully understand. Network security basics including ACLs and firewalls overlap with my interests. I want to get hands-on practice with Cisco Packet Tracer and eventually real equipment. After CCNA I'm thinking CCNP as a follow-up. Understanding SD-WAN and modern network virtualization seems important for the future of the field.","Cisco, CCNA, OSPF, BGP, VLANs, ACLs, Network Security, Packet Tracer, CCNP, SD-WAN"
"Blockchain Developer","20","Intermediate Python","Blockchain technology has fascinated me since I first heard about Bitcoin years ago, and I've finally decided to stop watching from the sidelines and actually learn to build on these platforms. I have solid Python skills so programming concepts aren't new to me. Solidity is the first new language I need to learn since it's what Ethereum smart contracts are written in. I want to understand how the EVM works at a conceptual level because that affects how you write efficient contracts. Hardhat or Foundry for development frameworks and testing smart contracts. Web3.js or Ethers.js for connecting frontend applications to the blockchain. Understanding DeFi protocols and NFT standards like ERC-20 and ERC-721 is important for context. Security is huge in blockchain because smart contract bugs are irreversible and have cost millions.","Solidity, Ethereum, EVM, Hardhat, Foundry, Web3.js, Ethers.js, ERC-20, ERC-721, Smart Contract Security"
"Machine Learning Engineer","15","College CS","My CS degree touched on machine learning in one elective and I was completely captivated, so now I want to make it my entire career. I have good programming foundations and math isn't scary to me, which I know gives me a head start. I want to go deeper than just calling sklearn functions and actually understand what's happening mathematically inside gradient descent, backpropagation, and regularization techniques. TensorFlow and Keras are on my list along with PyTorch, and I want to understand the tradeoffs between them. Computer vision is an area I find really exciting, so convolutional neural networks and working with OpenCV. Natural language processing is equally interesting to me. I also want to understand MLOps practices because deploying and monitoring models in production is where most real-world ML work happens.","Machine Learning, Gradient Descent, Backpropagation, TensorFlow, Keras, PyTorch, Computer Vision, NLP, MLOps"
"AI Engineer","14","College CS","I have a strong computer science background from my degree and I understand algorithms and data structures well, so I'm not starting from zero, I'm just need to specialize into AI properly. I want to fast-track into the modern AI engineering stack rather than spending too long on classical ML. My focus is on large language models and how to build reliable applications with them, including techniques like prompt engineering, RAG architecture, and understanding how to evaluate LLM outputs systematically. I also want to understand how to use tools like LlamaIndex and LangChain effectively for building agentic systems. MLflow for experiment tracking and Hugging Face for accessing pre-trained models are also on my list. I'm targeting AI engineering roles specifically, not research positions.","LLM, Prompt Engineering, RAG, LlamaIndex, LangChain, MLflow, Hugging Face, Agentic AI"
"Backend Developer","15","Basic Python","I can write Python scripts and I've done some basic web scraping and automation, but I want to become a real backend developer who builds APIs and services that actual products depend on. Django is what I'm planning to start with because it's Python and it's very full-featured, and then I'll also learn FastAPI for when I need something lighter and faster. Understanding REST API design principles properly is important to me, not just making endpoints work but making them well-designed. PostgreSQL for databases with a solid understanding of how to write efficient queries and design schemas properly. Redis for caching because performance matters. And I want to understand message queues like RabbitMQ or Kafka eventually because distributed systems rely on them. Docker to containerize everything.","Python, Django, FastAPI, REST API, PostgreSQL, Redis, RabbitMQ, Docker"
"Site Reliability Engineer","15","Excel","I work as a sysadmin and I keep reading about Site Reliability Engineering and how it's basically the evolution of what I do but more sophisticated and better paid. I have Linux skills which is a good base. I need to learn programming properly because SREs write code, and Go seems to be very popular in the SRE world. Understanding distributed systems concepts like CAP theorem, consensus algorithms, and how large-scale systems actually fail is important theoretical knowledge. Prometheus and Grafana for monitoring and alerting because observability is the core of SRE work. On-call incident management and writing good postmortems is a practice I want to develop. Kubernetes for container orchestration is something I need to understand. The SRE book from Google is on my reading list as the foundational text.","Go, Linux, Distributed Systems, Prometheus, Grafana, Kubernetes, Observability, Incident Management, SLOs"
"Data Scientist","22","Basic Statistics","I have a background in statistics from my university program and I can do hypothesis testing and regression analysis, but everything was done with SPSS and I realize that's basically useless in industry. I need to learn Python for data science, and I want to leverage my stats background to go deeper into machine learning than most beginners can. Bayesian statistics is an area I want to explore because I think the frequentist vs Bayesian distinction is really important and I'm mostly frequentist trained. I want to understand how to apply ML algorithms properly including cross-validation, regularization, and hyperparameter tuning. Natural language processing is interesting to me as an application area. Building models and then creating clear visualizations and narratives to explain them to non-technical stakeholders is a skill I want to develop.","Python, Bayesian Statistics, Machine Learning, Cross-validation, Regularization, NLP, Data Visualization, Storytelling"
"DevOps Engineer","20","None","I've heard the term DevOps a thousand times and every company seems to be hiring for it, so I want to understand what it actually means and get those skills. From what I understand it's about making software development and deployment faster and more reliable, which sounds really valuable. I know some Python so I can write basic scripts, but I need to learn the specific toolchain. Git and version control workflows first because apparently lots of DevOps work involves managing code pipelines. Then Docker for containerization, which I keep hearing is essential. Ansible for configuration management and automating server setup sounds useful. Jenkins or GitLab CI for automating the build and test and deploy process. And eventually cloud platforms, probably AWS or Azure. I'm prepared for this to be a challenging but rewarding twelve months.","Git, Docker, Ansible, Jenkins, GitLab CI, AWS, Azure, Configuration Management, CI/CD"
"Cybersecurity Professional","19","Excel and SQL","I'm coming from a software development background and I want to pivot hard into offensive security because I think understanding how attackers think is crucial, especially since I already write code and can see how vulnerable most applications actually are. I want to get deep into web application security, specifically learning how to exploit things like SQL injection, XSS, and CSRF vulnerabilities, and then use tools like Burp Suite to test applications professionally. I also want to understand how to write my own exploits and work with Metasploit for more structured penetration testing engagements. My goal is to eventually land a red team role at a major company, so I'm planning to pursue the OSCP and then CRTO certifications.","Web Application Security, SQL Injection, XSS, Burp Suite, Metasploit, OSCP, CRTO"
"QA Engineer","15","Basic Python","I've been doing manual QA testing at my company for a year and I'm pretty good at finding bugs, but I want to move into automation testing because it's so much more scalable and that's where the good jobs are. Python is my language choice for automation and I want to learn Selenium or Playwright for browser automation testing. Understanding the different types of testing, unit, integration, end-to-end, and when to use each is something I need to build up. API testing with tools like Postman and then automating that with Python's requests library is very practical. I want to learn a testing framework like pytest properly because just writing scripts isn't enough, you need structure and reporting. Performance testing with JMeter or Locust is also interesting to me for finding bottlenecks under load.","Python, Selenium, Playwright, API Testing, Postman, Pytest, JMeter, Locust, Test Automation"
